	k	p	c	o	f	g	s
OTU_4	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Mitochondria	g:Phytophthora_ramorum_[Sudden_oak_death_agent]	Unclassified
OTU_2	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rickettsiales	f:Mitochondria	Unclassified	Unclassified
OTU_1	k:Bacteria	p:Cyanobacteria	c:Chloroplast	Unclassified	Unclassified	Unclassified	Unclassified
OTU_5	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	Unclassified
OTU_9	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Caulobacterales	f:Caulobacteraceae	g:Phenylobacterium	s:Phenylobacterium_sp._T2-YC6777
OTU_3	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Bradyrhizobiaceae	g:Bradyrhizobium	s:Bradyrhizobium_elkanii
OTU_6	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	s:Sphingomonas_sp._MK01
OTU_10	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Oxalobacteraceae	g:Massilia	Unclassified
OTU_8	k:Bacteria	p:Proteobacteria	c:Betaproteobacteria	o:Burkholderiales	f:Comamonadaceae	Unclassified	Unclassified
OTU_7	k:Bacteria	p:Actinobacteria	c:Actinobacteria	o:Streptomycetales	f:Streptomycetaceae	Unclassified	Unclassified
OTU_11	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	Unclassified
OTU_12	k:Bacteria	p:Proteobacteria	c:Gammaproteobacteria	o:Enterobacteriales	f:Enterobacteriaceae	g:Buchnera	Unclassified
OTU_16	k:Bacteria	p:Bacteroidetes	c:Cytophagia	o:Cytophagales	f:Cytophagaceae	g:Hymenobacter	Unclassified
OTU_13	k:Bacteria	p:Chloroflexi	c:KD4-96	Unclassified	Unclassified	Unclassified	Unclassified
OTU_15	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Sphingomonadales	f:Sphingomonadaceae	g:Sphingomonas	s:Sphingomonas_sp._N2
OTU_18	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Methylobacteriaceae	g:Methylobacterium	Unclassified
OTU_14	k:Bacteria	p:Proteobacteria	c:Alphaproteobacteria	o:Rhizobiales	f:Aurantimonadaceae	g:Aureimonas	s:Aurantimonas_sp._AU22
