OTU_ID	k	p	c	o	f	g	s
OTU_1	d:Fungi						
OTU_9	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymellaceae	g:Leptosphaerulina	s:Leptosphaerulina_chartarum
OTU_11	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Botryosphaeriales	f:Botryosphaeriaceae	g:Macrophomina	s:Macrophomina_phaseolina
OTU_5	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Bionectriaceae	g:Bionectria	s:Bionectria_ochroleuca
OTU_2	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Mycosphaerellaceae	g:Davidiella	
OTU_8	d:Fungi	p:Basidiomycota					
OTU_13	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Diaporthaceae	g:Diaporthe	s:Phomopsis_longicolla
OTU_6	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_7	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporales_Incertae_sedis	g:Phoma	s:Epicoccum_nigrum
OTU_4	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Fusarium	
OTU_15	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeria	s:Phaeosphaeria_sp_1_MM_2012
OTU_10	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellales_Incertae_sedis		
OTU_12	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Corynesporascaceae	g:Corynespora	
OTU_14	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellales_Incertae_sedis	g:Hannaella	
OTU_17	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymellaceae	g:Didymella	
OTU_18	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Fusarium	s:Fusarium_cf_equiseti_MY_2011
OTU_24	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_elongata
OTU_21	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	
OTU_22	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Humicola	s:Humicola_fuscoatra
OTU_20	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Mycosphaerellaceae	g:Mycosphaerella	s:Septoria_glycines
OTU_25	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Nectria	
OTU_27	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Alternaria	s:Alternaria_padwickii
OTU_19	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellales_Incertae_sedis	g:Hannaella	s:Hannaella_oryzae
OTU_26	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_23	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales			
OTU_32	d:Fungi						
OTU_31	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Humicola	
OTU_16	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeriopsis	
OTU_35	d:Fungi						
OTU_37	d:Fungi						
OTU_3	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Alternaria	s:Alternaria_mali
OTU_29	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Microascales	f:Ceratocystidaceae	g:Thielaviopsis	s:Thielaviopsis_basicola
OTU_40	d:Fungi						
OTU_39	d:Fungi						
OTU_36	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Fusarium	s:Gibberella_avenacea
OTU_33	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Nectria	s:Nectria_haematococca_mpVI
OTU_41	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Leptosphaeriaceae	g:Neosetophoma	s:Neosetophoma_samarorum
OTU_28	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellales_Incertae_sedis	g:Hannaella	s:Hannaella_coprosmaensis
OTU_42	d:Fungi						
OTU_34	d:Fungi	p:Ascomycota					
OTU_30	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_luteolus
OTU_44	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_alpina
OTU_38	d:Fungi	p:Ascomycota	c:Pezizomycotina_Incertae_sedis	o:Pezizomycotina_Incertae_sedis	f:Pezizomycotina_Incertae_sedis	g:Knufia	s:Sarcinomyces_petricola
OTU_43	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Neonectria	
OTU_45	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	s:Rhizophagus_irregularis
OTU_49	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Clavicipitaceae	g:Metacordyceps	
OTU_50	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariomycetidae_Incertae_sedis	f:Plectosphaerellaceae	g:Plectosphaerella	
OTU_52	d:Fungi						
OTU_54	d:Fungi						
OTU_46	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	
OTU_51	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiales_Incertae_sedis	g:Tetracladium	
OTU_55	d:Fungi						
OTU_48	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Dipodascaceae	g:Geotrichum	
OTU_62	d:Fungi						
OTU_57	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_59	d:Fungi	p:Ascomycota					
OTU_56	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_tetraspora
OTU_65	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Lewia	s:Alternaria_sp_BMP_2012
OTU_60	d:Fungi	p:Ascomycota					
